;Author:,gully,,,,,,,,,,,,,,,,,
;Date:,13-Jan-14,,,,,,,,,,,,,,,,,
;Desc:,mSPAGHETI log,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,Flags…,,,
;,,,,,,,,,,,,,,,Data,,,
;Num,Project,Part,Sub_area,Directory,Basename,Acq_Date,d_mm,wl,FL,ang,N,xc,yc,Note,f_missing,f_nonstandard,f_mirror,f_reduce
;#,,-,-,-,-,yyyymmdd,mm,nm,mm,°,#,pix,pix,,,,,
;,,,,,,,,,,,,,,,,,,
33,JPL,TJ07,B,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ07/B_f200mm/,TJ07_B_d6mm_f200mm_632nm_filt-,20110513,6.0,632.8,200,54.7,128,248.7,763.1,Missing most of the data,1,0,0,0
35,JPL,TJ07,C,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ07/C_f200mm/,TJ07_C_6mm_f200mm_632nm_sat_filt-,20110513,6.0,632.8,200,54.7,5,301.4,598.1,a few saturated and unsaturated frames,0,1,0,0
37,JPL,TJ07,D,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ07/D_f200mm/,TJ07_D_6mm_f200mm_632nm_sat_filt-,20110513,6.0,632.8,200,54.7,3,109.2,584.1,a few saturated and unsaturated frames,0,1,0,0
43,iSHELL,E11,-,/Volumes/cambridge/Astronomy/silicon/iShell/E11/20110613/,E11_R3_d25mm_f838mm_632nm-,20110613,25.0,632.8,838,71.6,128,418.0,603.0,All data present,0,0,0,0
4,JPL,E12,-,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/E12/20110930/,E12_D25mm_f2m_l632nm_R3-,20110930,25.0,632.8,2000,71.6,256,280.0,659.6,"All data present, ""G"" instead of ""D"" as suffix",0,1,0,0
50,JPL,JHK_JPL,-,/Volumes/cambridge/Astronomy/silicon/iShell/JHK_grating/spectral_purity/20130423_ishell_JHK/,ishell_JHK_JPL_wafer_R1p4_d6mm_L632_f838-,20130423,6.0,632.8,838,54.7,256,421.2,480.0,All data present,0,0,0,0
47,iSHELL,G03,-,/Volumes/cambridge/Astronomy/silicon/iShell/G05/HeNe_632/20130627_G03/,G03_R3_d25mm_L632_f838-,20130627,25.0,632.8,838,71.6,256,564.7,555.6,All data present,0,0,0,0
48,iSHELL,G05,-,/Volumes/cambridge/Astronomy/silicon/iShell/G05/HeNe_632/20130627_G05/,G05_R3_d25mm_L632_f838-,20130627,25.0,632.8,838,71.6,256,541.1,492.8,All data present,0,0,0,0
49,-,mirror,-,/Volumes/cambridge/Astronomy/silicon/iShell/G05/HeNe_632/20130628_mir/,mir_d25mm_L632_f838-,20130628,25.0,632.8,838,0.0,256,571.2,540.2,All data present,0,1,1,0
51,JPL,JHK_JPL,-,/Volumes/cambridge/Astronomy/silicon/iShell/JHK_grating/spectral_purity/20130703/,ishellJHK_d6mm_L632_f838_R1p4-,20130703,6.0,632.8,838,54.7,256,617.1,614.5,All data present,0,0,0,1
52,-,mirror,-,/Volumes/cambridge/Astronomy/silicon/iShell/JHK_grating/spectral_purity/20130705_mir/,mir_d6mm_L632_f838-,20130705,6.0,632.8,838,0.0,256,497.4,578.4,All data present,0,0,1,1
53,-,mirror,-,/Volumes/cambridge/Astronomy/silicon/Processing_exposure/masks/pitch200um_top10um_1995mask/20130827_mir/,mir_d25mm_L632_f838-,20130827,25.0,632.8,838,0.0,256,506.9,525.9,All data present,0,0,1,0
55,-,photomask200um,-,/Volumes/cambridge/Astronomy/silicon/Processing_exposure/masks/pitch200um_top10um_1995mask/20130830/,mask200um_top10um_d25mm_L632_f838-,20130830,25.0,632.8,838,20?,999,414.4,287.1,All data present,0,1,0,0
56,?,mirror,-,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/E12/20131014/,mirror_d15mm_L632_f838-,20131014,15.0,632.8,838,0.0,256,488.3,612.2,All data present,0,0,1,0
58,JPL,E12,-,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/E12/20131016/,E12_R3_d15mm_L632_f838-,20131016,15.0,632.8,838,71.6,256,418.6,372.2,All data present,0,0,0,0
57,JPL,E09,-,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/E09/20131108/,E09_R3_d15mm_L632_f838-,20131108,15.0,632.8,838,71.6,256,693.9,502.4,All data present,0,0,0,0
60,-,mirror,-,/Volumes/cambridge/Astronomy/silicon/iShell/JHK_grating/spectral_purity/20131202/,Mirror_d5mm_L632_f838-,20131202,5.0,632.8,838,0.0,256,540.5,461.0,All data present,0,0,1,1
59,JPL,JHK_JPL,A,/Volumes/cambridge/Astronomy/silicon/iShell/JHK_grating/spectral_purity/20131203/,JHKishell_d5mm_L632_f838-,20131203,5.0,632.8,838,54.7,256,572.8,566.5,All data present,0,0,0,1
61,JPL,JHK_JPL,B,/Volumes/cambridge/Astronomy/silicon/iShell/JHK_grating/spectral_purity/20140113/SIGRTUTIShell_JHK_B/,JHKishell_d5mm_L632_f838_B-,20140113,5.0,632.8,838,54.7,256,288.0,477.2,All data present,0,0,0,1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
